,title,description,initial_price,components,link,scrape_type,promotion_duration,post_promotion_price,internet_speed
0, Easy Internet + Mobile 5 GB + Telenet TV Iconic," 150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
5 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig? Dat kan voor €16 per nummer
93 zenders
Telenet TV-box met afstandsbediening
Tv streamen via app
Terugkijk TV","80,47"," Easy Internet
Telenet Mobile 5 GB
Telenet TV Iconic",https://www2.telenet.be/residential/nl/producten/internet-mobiel-tv/easy-internet---mobile-5gb---telenet-tv-iconic/,internet-mobiel-tv,,,
1, Easy Internet + Mobile 8 GB + Telenet TV iconic," 150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
8 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig?
Dat kan voor €20,94 per nummer
93 zenders
Telenet TV-box met afstandsbediening
Tv streamen via app
Terugkijk TV","85,41"," Easy Internet
Telenet Mobile 8 GB
Telenet TV iconic",https://www2.telenet.be/residential/nl/producten/internet-mobiel-tv/easy-internet---mobile-8gb---telenet-tv-iconic/,internet-mobiel-tv,,,
2, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"73,24",250 Mbps
3, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"95,39",1 Gbps
4, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"73,24",250 Mbps
5, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"95,39",1 Gbps
6, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"73,24",250 Mbps
7, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"95,39",1 Gbps
8, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"73,24",250 Mbps
9, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel-tv,12,"95,39",1 Gbps
10, Easy Internet + Mobile 5 GB," 150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
5 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig?
Dat kan voor €16 per nummer","49,29"," Easy Internet
Telenet Mobile 5 GB",https://www2.telenet.be/residential/nl/producten/internet-mobiel/easy-internet---mobile-5gb/,internet-mobiel,,,
11, Easy Internet + Mobile 8 GB," 150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
8 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig?
Dat kan voor €20,94 per nummer","54,23"," Easy Internet
Telenet Mobile 8 GB",https://www2.telenet.be/residential/nl/producten/internet-mobiel/easy-internet---mobile-8gb/,internet-mobiel,,,
12, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel,12,"73,24",250 Mbps
13, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel,12,"95,39",1 Gbps
14, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel,12,"73,24",250 Mbps
15, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-mobiel,12,"95,39",1 Gbps
16, Easy Internet,,"64,47",,https://www2.telenet.be/residential/nl/producten/internet-tv/?intcmp=IntTVFinder,internet-tv,,,
17, All-Internet,,"64,99",,https://www2.telenet.be/residential/nl/producten/internet-tv/?intcmp=IntTVFinder,internet-tv,12,"74,20",
18, Giga-Internet,,"79,99",,https://www2.telenet.be/residential/nl/producten/internet-tv/?intcmp=IntTVFinder,internet-tv,12,"92,32",
19, Ook een mobiel abonnement nodig?,,"80,39",,https://www2.telenet.be/residential/nl/producten/internet-tv/?intcmp=IntTVFinder,internet-tv,12,"95,39",
20," 
    All-Internet
",,"60,52",,https://www2.telenet.be/residential/nl/producten/internet-tv/?intcmp=IntTVFinder,internet-tv,12,"71,67",
21, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-tv,12,"73,24",250 Mbps
22, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-tv,12,"95,39",1 Gbps
23, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-tv,12,"73,24",250 Mbps
24, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/,internet-tv,12,"95,39",1 Gbps
25, 100 Mbps," downloadsnelheid i
150 GB om te surfen i
10 Mbps uploadsnelheid i
Veilig internet thuis i","33,29",,https://www2.telenet.be/residential/nl/producten/internet/?intcmp=IntFinder,internet,,,
26, 300 Mbps," downloadsnelheid i
Onbeperkt surfen i
20 Mbps uploadsnelheid i
Veilig internet thuis i","49,99",,https://www2.telenet.be/residential/nl/producten/internet/?intcmp=IntFinder,internet,12,"61,14",
27, 1 Gbps," downloadsnelheid i
Onbeperkt surfen i
40 Mbps uploadsnelheid i
Veilig internet thuis i","64,99",,https://www2.telenet.be/residential/nl/producten/internet/?intcmp=IntFinder,internet,12,"76,14",
28, Ook een mobiel abonnement nodig?,,"58,24",,https://www2.telenet.be/residential/nl/producten/internet/?intcmp=IntFinder,internet,12,"73,24",
29, ONE," Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","58,24"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/?intcmp=ONEFinder,one,12,"73,24",250 Mbps
30, ONEup," Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i
","80,39"," Internet
Mobiel
Met of zonder tv",https://www2.telenet.be/residential/nl/producten/one/?intcmp=ONEFinder,one,12,"95,39",1 Gbps
31, Telenet Mobile 5 GB," Surfen: 5 GB volume i
Onbeperkt bellen en SMS'en i
4G/5G netwerk i
30 Mbps downloaden i
5 Mbps uploaden i
",16,,https://www2.telenet.be/residential/nl/producten/mobiel/?intcmp=MobAbFinder,mobiel,,,
32, Telenet Mobile 8 GB," Surfen: 8 GB volume i
Onbeperkt bellen en SMS'en i
4G/5G netwerk i
30 Mbps downloaden i
5 Mbps uploaden i","20,94",,https://www2.telenet.be/residential/nl/producten/mobiel/?intcmp=MobAbFinder,mobiel,,,
33, Prijs volgens verbruik," Surfen: € 0,10/MB i
Bellen: € 0,20/min i
Sms sturen: € 0,07 i
4G netwerk i
30 Mbps* downloaden i
5 Mbps* uploaden i",0,,https://www2.telenet.be/residential/nl/producten/mobiel/?intcmp=MobAbFinder,mobiel,,,
34, Liever onbeperkt?,,"58,24",,https://www2.telenet.be/residential/nl/producten/mobiel/?intcmp=MobAbFinder,mobiel,12,"73,24",
