,title,desc,link,Type,nominal_price,discount_price,discount_duration
0,Easy Internet + Mobile 5 GB + Telenet TV Iconic,"150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
5 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig? Dat kan voor €16 per nummer
93 zenders
Telenet TV-box met afstandsbediening
Tv streamen via app
Terugkijk TV",/residential/nl/producten/internet-mobiel-tv/easy-internet---mobile-5gb---telenet-tv-iconic/,Pack,,,
1,Easy Internet + Mobile 8 GB + Telenet TV iconic,"150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
8 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig?
Dat kan voor €20,94 per nummer
93 zenders
Telenet TV-box met afstandsbediening
Tv streamen via app
Terugkijk TV",/residential/nl/producten/internet-mobiel-tv/easy-internet---mobile-8gb---telenet-tv-iconic/,Pack,,,
2,Word unlimited met ONE,"Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 


    
Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 




Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Kijk via afstandsbediening & TV-box

93 tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten
Afstandsbediening
TV-box (vroeger: Digibox/Digicorder)
Streamingdiensten op je TV-box
Tv streamen met de Telenet TV flow app


14 populaire tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten",/residential/nl/producten/one/,Pack,,,
3,Word unlimited met ONE,"Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 


    
Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 




Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Kijk via afstandsbediening & TV-box

93 tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten
Afstandsbediening
TV-box (vroeger: Digibox/Digicorder)
Streamingdiensten op je TV-box
Tv streamen met de Telenet TV flow app


14 populaire tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten",/residential/nl/producten/one/,Pack,,,
4,Word unlimited met ONE,"Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 


    
Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 




Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Kijk via afstandsbediening & TV-box

93 tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten
Afstandsbediening
TV-box (vroeger: Digibox/Digicorder)
Streamingdiensten op je TV-box
Tv streamen met de Telenet TV flow app


14 populaire tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten",/residential/nl/producten/one/,Pack,,,
5,Word unlimited met ONE,"Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 


    
Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 




Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Kijk via afstandsbediening & TV-box

93 tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten
Afstandsbediening
TV-box (vroeger: Digibox/Digicorder)
Streamingdiensten op je TV-box
Tv streamen met de Telenet TV flow app


14 populaire tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten",/residential/nl/producten/one/,Pack,,,
6,Easy Internet + Mobile 5 GB,"150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
5 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig?
Dat kan voor €16 per nummer",/residential/nl/producten/internet-mobiel/easy-internet---mobile-5gb/,Pack,,,
7,Easy Internet + Mobile 8 GB,"150 GB per maand
100 Mbps downloadsnelheid
10 Mbps uploadsnelheid
Thuis veilig surfen op al je toestellen met Safesurf
8 GB mobiele data
Onbeperkt bellen
Onbeperkt sms'en
Tot 30 Mbps downloadsnelheid
Tot 5 Mbps uploadsnelheid
4G/5G
Extra mobiel abonnement nodig?
Dat kan voor €20,94 per nummer",/residential/nl/producten/internet-mobiel/easy-internet---mobile-8gb/,Pack,,,
8,Word unlimited met ONE,"Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 


    
Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 




Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Kijk via afstandsbediening & TV-box

93 tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten
Afstandsbediening
TV-box (vroeger: Digibox/Digicorder)
Streamingdiensten op je TV-box
Tv streamen met de Telenet TV flow app


14 populaire tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten",/residential/nl/producten/one/,Pack,,,
9,Word unlimited met ONE,"Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 


    
Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 




Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Kijk via afstandsbediening & TV-box

93 tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten
Afstandsbediening
TV-box (vroeger: Digibox/Digicorder)
Streamingdiensten op je TV-box
Tv streamen met de Telenet TV flow app


14 populaire tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten",/residential/nl/producten/one/,Pack,,,
10,Easy Internet,,https://www2.telenet.be/residential/nl/producten/internet-tv/,Pack,"€
64
,47",,
11,All-Internet,,https://www2.telenet.be/residential/nl/producten/internet-tv/,Pack,"€
74
,20","€
64
,99",12
12,Giga-Internet,,https://www2.telenet.be/residential/nl/producten/internet-tv/,Pack,"€
92
,32","€
79
,99",12
13,Ook een mobiel abonnement nodig?,,https://www2.telenet.be/residential/nl/producten/internet-tv/,Pack,"€
95
,39","€
80
,39",12
14,"
    All-Internet
",,https://www2.telenet.be/residential/nl/producten/internet-tv/,Pack,"€71,67","€60,52",12
15,Word unlimited met ONE,"Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 


    
Onbeperkt snel internet thuis
Onbeperkte mobiele data onderweg 

Onbeperkt bellen en sms’en 

Optioneel: tv en gratis vaste lijn, datasim en eSIM 




Onbeperkt snel internet tot 250 Mbps downloadsnelheid* i
Veilig internet thuis met inbegrepen Safesurf i
Onbeperkte mobiele data tot 150 Mbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i

Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Onbeperkt supersnel internet tot 1 Gbps downloadsnelheid* i
Veilig internet thuis én onderweg met inbegrepen Safespot+ i

Onbeperkte mobiele data tot 1 Gbps downloadsnelheid, ook via 5G i
Onbeperkt bellen en sms’en i
Gratis datasim voor bv. in je tablet i
Gratis eSIM voor je smartwatch i
Gratis vaste telefoonlijn i
Tv kijken met afstandsbediening en TV-box met Telenet TV Iconic  i
Tv, series en films streamen met de Telenet TV flow-app  i

Kijk via afstandsbediening & TV-box

93 tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten
Afstandsbediening
TV-box (vroeger: Digibox/Digicorder)
Streamingdiensten op je TV-box
Tv streamen met de Telenet TV flow app


14 populaire tv-zenders
App
Terugkijk TV
Uitbreiden met streamingdiensten en zenderpakketten",/residential/nl/producten/one/,Pack,,,
